datum;deelnemer;geslacht;leeftijd;moedertaal;student_zorg;werk_zorg;leeftijdsgenoot_opname;oudere_opname;browser;os;platform
2022-02-11T11:22:55+01:00;811c141cbe9fbd52f56775a504ce0f73;V;41;nl;N;N;leeftijdsgenoot_opname_2022-02-11_811c141cbe9fbd52f56775a504ce0f73.flac;oudere_opname_2022-02-11_811c141cbe9fbd52f56775a504ce0f73.flac;"Chrome 98.0.4758.87";"Android 9";mobile
2022-02-11T16:58:50+01:00;d538d2aee03a643332742568aec5ca4e;V;43;nl;N;N;leeftijdsgenoot_opname_2022-02-11_d538d2aee03a643332742568aec5ca4e.flac;oudere_opname_2022-02-11_d538d2aee03a643332742568aec5ca4e.flac;"Safari 14.1.2";"iOS 14.8.1";mobile
2022-02-11T19:37:21+01:00;8bb4506fd302006d224e9c1584d0a5da;V;49;nl;N;N;leeftijdsgenoot_opname_2022-02-11_8bb4506fd302006d224e9c1584d0a5da.flac;oudere_opname_2022-02-11_8bb4506fd302006d224e9c1584d0a5da.flac;"Chrome 98.0.4758.80";"macOS 10.15.7";desktop
2022-02-14T08:40:34+01:00;1fcbb8f764cc952c513dca6e0fa60dda;M;31;nl;N;J;leeftijdsgenoot_opname_2022-02-14_1fcbb8f764cc952c513dca6e0fa60dda.flac;oudere_opname_2022-02-14_1fcbb8f764cc952c513dca6e0fa60dda.flac;"Chrome 98.0.4758.82";"Windows NT 10.0";desktop
2022-02-14T18:22:49+01:00;439102a8663b97e53fe2777c9fade8cb;V;23;andere;J;N;leeftijdsgenoot_opname_2022-02-14_439102a8663b97e53fe2777c9fade8cb.flac;oudere_opname_2022-02-14_439102a8663b97e53fe2777c9fade8cb.flac;"Chrome 98.0.4758.82";"Windows NT 10.0";desktop
2022-02-25T14:07:03+01:00;9c87ac2d125905e841661cfd28ac3c00;V;48;nl;N;J;leeftijdsgenoot_opname_2022-02-25_9c87ac2d125905e841661cfd28ac3c00.flac;oudere_opname_2022-02-25_9c87ac2d125905e841661cfd28ac3c00.flac;"Chrome 98.0.4758.102";"Windows NT 10.0";desktop
2022-02-25T19:24:20+01:00;b6861b31db7b34f8d140b38abe2af4f5;V;73;nl;N;N;leeftijdsgenoot_opname_2022-02-25_b6861b31db7b34f8d140b38abe2af4f5.flac;oudere_opname_2022-02-25_b6861b31db7b34f8d140b38abe2af4f5.flac;"Microsoft Edge 98.0.1108.62";"Windows NT 10.0";desktop
2022-02-27T09:18:42+01:00;73718e45bc3a39c1fd9bc082d39c104a;V;67;nl;N;N;leeftijdsgenoot_opname_2022-02-27_73718e45bc3a39c1fd9bc082d39c104a.flac;oudere_opname_2022-02-27_73718e45bc3a39c1fd9bc082d39c104a.flac;"Firefox 97.0";"Windows NT 10.0";desktop
2022-02-28T20:24:21+01:00;9bd65c7d1a54b84b8815e4347a36eb9e;V;24;nl;N;N;leeftijdsgenoot_opname_2022-02-28_9bd65c7d1a54b84b8815e4347a36eb9e.flac;oudere_opname_2022-02-28_9bd65c7d1a54b84b8815e4347a36eb9e.flac;"Safari undefined";"iOS 15.1";mobile
2022-03-02T11:42:06+01:00;3cebc1e0aeb09a75f97239b91a905299;V;41;nl;N;N;leeftijdsgenoot_opname_2022-03-02_3cebc1e0aeb09a75f97239b91a905299.flac;oudere_opname_2022-03-02_3cebc1e0aeb09a75f97239b91a905299.flac;"Chrome 98.0.4758.102";"Windows NT 10.0";desktop
2022-03-02T11:49:55+01:00;6117bb322e2cd1b4e06981bcbc7b0bea;V;25;nl;N;J;leeftijdsgenoot_opname_2022-03-02_6117bb322e2cd1b4e06981bcbc7b0bea.flac;oudere_opname_2022-03-02_6117bb322e2cd1b4e06981bcbc7b0bea.flac;"Chrome 98.0.4758.102";"Windows NT 10.0";desktop
2022-03-02T11:53:13+01:00;6117bb322e2cd1b4e06981bcbc7b0bea;V;56;nl;N;J;leeftijdsgenoot_opname_2022-03-02_6117bb322e2cd1b4e06981bcbc7b0bea.flac;oudere_opname_2022-03-02_6117bb322e2cd1b4e06981bcbc7b0bea.flac;"Chrome 98.0.4758.102";"Windows NT 10.0";desktop
2022-03-02T13:51:23+01:00;55885ff8846c81d2c9e3598eac8d6c8d;M;47;nl;N;N;leeftijdsgenoot_opname_2022-03-02_55885ff8846c81d2c9e3598eac8d6c8d.flac;oudere_opname_2022-03-02_55885ff8846c81d2c9e3598eac8d6c8d.flac;"Chrome 98.0.4758.102";"Windows NT 10.0";desktop
2022-03-02T17:37:46+01:00;d9fd167a39a9c3bbc5b793392787f726;V;57;nl;N;N;leeftijdsgenoot_opname_2022-03-02_d9fd167a39a9c3bbc5b793392787f726.flac;oudere_opname_2022-03-02_d9fd167a39a9c3bbc5b793392787f726.flac;"Chrome 98.0.4758.102";"Windows NT 10.0";desktop
2022-03-16T23:52:31+01:00;887a51ac46f11f27e70f0789dd4b4876;M;69;nl;N;N;leeftijdsgenoot_opname_2022-03-16_887a51ac46f11f27e70f0789dd4b4876.flac;oudere_opname_2022-03-16_887a51ac46f11f27e70f0789dd4b4876.flac;"Microsoft Edge 99.0.1150.39";"Windows NT 10.0";desktop
2022-03-17T09:51:09+01:00;97af73e3939320f945ec67a090e4dc18;M;40;nl;N;N;leeftijdsgenoot_opname_2022-03-17_97af73e3939320f945ec67a090e4dc18.flac;oudere_opname_2022-03-17_97af73e3939320f945ec67a090e4dc18.flac;"Samsung Internet for Android 16.0";"Android 10";mobile
2022-03-17T09:59:17+01:00;7940a89332069942fc22f17365d7f940;M;64;nl;N;N;leeftijdsgenoot_opname_2022-03-17_7940a89332069942fc22f17365d7f940.flac;oudere_opname_2022-03-17_7940a89332069942fc22f17365d7f940.flac;"Chrome 99.0.4844.58";"Android 10";mobile
2022-03-17T17:35:00+01:00;fb74e6ea39779ba251462af8826575ee;V;38;nl;N;N;leeftijdsgenoot_opname_2022-03-17_fb74e6ea39779ba251462af8826575ee.flac;oudere_opname_2022-03-17_fb74e6ea39779ba251462af8826575ee.flac;"Chrome 94.0.4606.85";"Android 10";mobile
2022-03-17T19:53:38+01:00;7d0b90251e78dad76e3e81c7190909b8;V;55;nl;J;J;leeftijdsgenoot_opname_2022-03-17_7d0b90251e78dad76e3e81c7190909b8.flac;oudere_opname_2022-03-17_7d0b90251e78dad76e3e81c7190909b8.flac;"Firefox 99.0";"Android 11";mobile
2022-03-17T20:52:25+01:00;fb74e6ea39779ba251462af8826575ee;M;37;nl;N;N;leeftijdsgenoot_opname_2022-03-17_fb74e6ea39779ba251462af8826575ee.flac;oudere_opname_2022-03-17_fb74e6ea39779ba251462af8826575ee.flac;"Chrome 94.0.4606.85";"Android 10";mobile
2022-03-17T22:26:11+01:00;87200366fe0f2d55091fa85c663cea68;M;64;nl;N;N;leeftijdsgenoot_opname_2022-03-17_87200366fe0f2d55091fa85c663cea68.flac;oudere_opname_2022-03-17_87200366fe0f2d55091fa85c663cea68.flac;"Firefox 98.0";"Windows NT 10.0";desktop
2022-03-18T15:49:15+01:00;7911ed3ae133cc7060909a6297deb381;M;18;nl;N;N;leeftijdsgenoot_opname_2022-03-18_7911ed3ae133cc7060909a6297deb381.flac;oudere_opname_2022-03-18_7911ed3ae133cc7060909a6297deb381.flac;"Safari 15.3";"iOS 15.3.1";mobile
2022-03-21T21:02:51+01:00;97fd0a8ef73cbc7b27101532ad00e312;V;62;nl;N;N;leeftijdsgenoot_opname_2022-03-21_97fd0a8ef73cbc7b27101532ad00e312.flac;oudere_opname_2022-03-21_97fd0a8ef73cbc7b27101532ad00e312.flac;"Chrome 99.0.4844.74";"Windows NT 10.0";desktop
2022-03-21T22:42:13+01:00;f0f850062b2aaa39d0a5e8a1fb06ec8d;M;42;nl;N;N;leeftijdsgenoot_opname_2022-03-21_f0f850062b2aaa39d0a5e8a1fb06ec8d.flac;oudere_opname_2022-03-21_f0f850062b2aaa39d0a5e8a1fb06ec8d.flac;"Chrome 99.0.4844.73";"Android 11";mobile
2022-03-22T12:25:35+01:00;cac61031661b946c6e4303631ad96c7b;V;39;nl;N;N;leeftijdsgenoot_opname_2022-03-22_cac61031661b946c6e4303631ad96c7b.flac;oudere_opname_2022-03-22_cac61031661b946c6e4303631ad96c7b.flac;"Safari undefined";"iOS 15.3.1";mobile
2022-03-24T08:29:46+01:00;20e84c4355710b57e06f6f736d371c14;M;56;nl;N;N;leeftijdsgenoot_opname_2022-03-24_20e84c4355710b57e06f6f736d371c14.flac;oudere_opname_2022-03-24_20e84c4355710b57e06f6f736d371c14.flac;"Chrome 97.0.4692.71";"Windows NT 10.0";desktop
