tekst;gericht aan;score;elderspeak (handmatig);correct (threshold: 0,5);;;;
Hey Peter Wat dacht je van een dagje naar zee een dagje naar Oostende bijvoorbeeld Dan kunnen we je moeder te zoeken wanneer je een pakket mee En zwemgerief en we gaan ook een keer gaan zwemmen in het zwembad van Oostende We reden uiteraard met Tesla dat was gewoon top Zullen we;leeftijdsgenoot;0,003;0;1;;aantal:;30;
economie Ik wil morgen met je naar de zee Ik wil het liefst naar het zwembad gaan Misschien kunnen we daar met de auto gaan aan de bak met de auto om uur of 11 rijden we 40 minuten en dan moeten we even kiezen of naar de Belgische Swim Canton Nederland Nederlandse is makkelijk te bereiken met de auto dus misschien daarheen Wat vind je van het idee Ga je mee;leeftijdsgenoot;0,376;1;0;;correct (threshold 0,5):;18;60%
dag oma kan je morgen met ons mee naar de zee We komen je halen met de auto vertrekken om 9 uur Vergeet je zwempak niet mee te nemen want we gaan samen zwemmen in het zwembad van Oostende Natuurlijk gaan we ook iets lekkers eten en iets een lekkere koffie gaan drinken Pietje op om 9 uur Zorg dat je er bent oma;oudere;0,985;1;1;;;;
Ik heb een idee Gaan we morgen naar de zien dat ik heb daar wel Alleen ik heb er wel zin in dus een mooi weer en het gaat mooi weer zijn eventueel Oostende dat is niet zo ver met de trein en dan kunnen we 's Avonds gaan eten en een fles wijn delen dan moeten we ons geen zorgen maken over nog kunnen toch dacht eventueel op het strand zitten en muziek luisteren je box mee want die is beter tegen Sam bestaande meenemen en kunnen gaan winkelen ik heb nog iets nodig voor de Trouw van Arno en ik weet Ja wat foto's nemen dus misschien ook een fototoestel mee als niet geeft hè Zie je dat zetten;leeftijdsgenoot;0,006;0;1;;;;
dag oma Heb je zin om met mij mee naar de zee gaan morgen hoeft helemaal niks mee te nemen Ik zal alles voor je inpakken we ook met de auto Hoeveel uur of 11 Als je dat ziet zitten en dan gaan we naar het zwin waar je altijd heel graag heen wilt en Dan brengen we gewoon 's avonds weer thuis Zeg maar als je dat wil Oké dag;oudere;1;1;1;;;;
Ik zal morgen naar de zee gaan we graag mee anders kunnen we samen rijden en goede wel oppikken Ik zou graag vrij vroeg vertrekken misschien dan anders Rond 8 uur pas om 9 uur aan Zee en kunnen we daar ontbijten of ergens gaan lunchen en dan nog een lange wandeling maken en dan iets eten en dat ik op dit terugkeren want ik moet de kinderen ophalen in de crèche Laat maar weten of u past en voor mij maakt badplaats niet gedacht dan aan die poort nog gezellig daar kunnen daar ook een wandeling maken misschien werken maar ik wil iets anders gaan dus laat maar weten wat dat voor u passen en hopelijk tot morgen dag;leeftijdsgenoot;0,001;0;1;;;;
dag Moeke zeg Kijk ik een voorstel morgen in plaats van nou weer een heel de dag binnen zitten Sorry geniet met je mee willen laten zien esaki kruiden want de trein Dan gaat niet meer lukken naam is Nee hebt Ik zal ik rijden en we zullen we weer naar Zeebrugge gaan dat is niet zo ver kunnen onderweg wel stoppen voor de wc te gaan En als ik zal ik rijden moeten eerst maar meenemen mijn medicatie en dan zeg ik dat anders maar mee want anders als het verlies we kunnen tassen koffie drinken en zitten op de dijk en wit gekeken en dat de mensen en kunnen dan is een tweede schnitzel en moeke Mooren anders is goed Ja dus;oudere;0,16;1;0;;;;
schat niet dat krokusvakantie is wil ik graag met de kinderen naar zee met de auto naar Nieuwpoort rijden dus dat het plezant kunnen we toch ook doorrijden of een ijsje gaan eten wat denk jij dat we om 9 uur vertrekken dan zijn we om een uur of 10 10:30 daar kunnen we gaan toch vandaag van maken en ook meedoen en dan iets gaan eten denk ik hè ik zal zien omdat je te reserveren;leeftijdsgenoot;0,008;1;0;;;;
M morgen bij ons mee met de kinderen naar de zee Nieuwpoort gaan ja het is wel best handig joh dat aanvulling op de muur of 8:45 komen halen want jij zit toch altijd vroeg op en alles eens te laat gaan eten Ik hoor je morgen alles hè;oudere;0,005;1;0;;;;
kijken naar de zee zou gaan en niet te gaan Ik wil jou oppikken bij vroeg vertrekken 's morgens dus misschien in koffie kan drinken en misschien een boterham eten en dan vertrekken anders pik ik je op zo rond een uur of 9 en voor mij maakt het niet uit waar dat we gaan Ik weet dat je graag naar de Nieuwpoort gaat daar vorige keer een zonnig terras en koffie samen hebben gedronken nog Laat maar weten of dat dat goed is voor u en Als je vragen hebt mag je ook mee werken en dan dan spreken we verder af dag;oudere;0;0;1;;;;
Hallo Amber om morgen mee te gaan naar de Zeeman ja ja ja ja gaan we daar naartoe gaan of met een trein met de trein weerbericht gezien dat dat ziet er niet uit We gaan het doen we gaan doen winterjassen zeker hè Ja is goed maar stoppenWanneer heb ik mijn compleet maken en dan terug wanneer heb je dat gezien en dan spreken we af;leeftijdsgenoot;0,019;0;1;;;;
schat ik heb een voorstel voor onze daguitstap naar zee die eigenlijk al een tijdje willen maken en zelfs om die morgen meteen te doen de trein van 8 uur dertig naar Koksijde te kunnen nemen vanuit het station ja dan zien we wel waar het openbaar vervoer ons naartoe kan brengen en een lange wandeling op het strand kunnen maken ook in de duinen We zouden het centrum Kunnen bezoeken en natuurlijk ook het Delvaux museum en over de over de middag Dan vinden we wel leuk restaurant om een hapje te eten en Ieder half uur is er een trein die ons terug thuis kan brengen;leeftijdsgenoot;0,001;0;1;;;;
Zet op zender om naartoe te gaan Ik dacht om niet te laten vertrekken zorgen om 12 uur ofzo aan het station gent-sint-pieters trein te pakken en moest je bijvoorbeeld drinken meepakken ofzo en dan voor problemen dan kunnen wij eigenlijk gewoon;leeftijdsgenoot;0,001;0;1;;;;
Goedemorgen Yvonne Yvonne morgen naar de zee gooit dan en dan kijken we gewoon Zalando jas en knuffelen en dan opvliegers rondlopen en dan pannenkoeken nog wat leuks doen in dat duurt doen hè;oudere;0,041;0;1;;;;
Ja morgen de wekker niet zoeken naar het zitje gaan en het is al de hele tijd andere van klappen en we zouden toch beter een keer doen hè Zeg moesten we nu een keer morgen 's morgens 's morgens 8:30 trein nemen naar Koksijde station gaan we dan wel zien of dat er een bus en de bus die van ons dan wel overal naartoe brengen Ja en we kunnen wij wandelingske maken op het strand gingen de deuren ook nog doen die hebben kunnen keer naar de winkels gaan kijken het centrum en als goesting hebt goesting hebt Ik heb ook nog een keer dat Daarvoor is goed Dan kunnen we daar ook nog een keer naartoe gaan en 's middags vergeten Ja restaurantje We gaan wel een restaurantje vinden want anders stukske kunnen eten hè en elk halfuurEsther de trein en als je weer naar huis wilt komen dan kunnen we om 12 uur terugkeren;oudere;0,009;1;0;;;;
Zegt me om morgen mee te gaan naar de zee Dan kunnen we met de auto gaan de autostrade helemaal tot Oostende rijden zodat niet leuk zijn en dan gaan we daar een keer over de dijk wandelen dan kan ik kijken naar de vogels die vliegen en dan gaan we lekker jamjamjam iets gaan eten en één van de restaurantjes;oudere;0,037;0;1;;;;
Hey Oma ik zou anders zou je toch vinden moesten we zo samen naar de zee ga morgen ik ga dan jou misschien oppikken Jij moet niks doen dan Ik kom gewoon met de auto naar jou en dan rijden we samen rustig naar naar de zee en mocht je iets meepakken Waarom als je iets speciaals wilt eten of drinken ofzo Ja dat kan hè Dat is misschien ook belangrijk maar ik kom jou gewoon nog pakken dan op je op bij jou thuis of om 12 uur;oudere;0,947;0;0;;;;
dag omaatje Ik zou graag morgen naar ziekenhuis Wat denk je ervan zo lang over gesproken Heb je zin om mee te gaan We kunnen naar het appartement gegaan in Middelkerke Waar ik vaak dingen mee om weet je nog zou jij een slaatje kunnen meenemen zoals je dat zo lekker kan maken hè we kunnen vroeg vertrekken dan ben je op tijd thuis om mijn familie te kijken We zullen met de auto gaan wat denk je eraan;oudere;0,988;1;1;;;;
Lieveke Ik zou morgen graag naar zee gaan ze voorspellen prachtig weer kunnen we de fietsen meenemen als we vroeg vertrekken zo Rond 8 uur kunnen we fietsen van Knokke naar Oostende daar is eten en daarna nog verder fietsen tot een Middelkerke om een bezoek te brengen aan je zus wat denk je;leeftijdsgenoot;0,01;1;0;;;;
x Ik ben van plan om morgen naar de zee te gaan Ik zou morgen om 10:30 Wekken om met de wagen naar de 's morgens ook een wandelingetje maken en ze Dijk 's middags een pannenkoek eten en in de namiddag nog wat op het strand zitten wat ik van misschien is het goed als je een picknick voorziet Ik zorg voor koffiekoeken 's morgens vroeg en dan eten we 's avonds een bakje friet om dan tegen 9:30 terug thuis te zijn denk dat we zoiets Rond 8 uur 30 zelfs zullen vertrekken Wat neem je nog meer aan badpak om eventjes in de zee te gaan en een handdoek en een spelletje voor op het strand Verras me maar Oké perfect Tot morgen dankan alles gedichten Wat is goed;leeftijdsgenoot;0,424;0;1;;;;
GAMMA We gaan met de auto zodat we de rollator kunnen meenemen om een wandeling te maken op de dijk van Middelkerke We eten iets kleins middags en kunnen ook nog een pannenkoeken eten voor we terugkeren naar huis;oudere;0,02;0;1;;;;
Zou je het leuk vinden om morgen een uitstapje te maken Naar De Kust We kunnen dan misschien om 9 uur met de auto gaan Ik dacht bijvoorbeeld Cadzand stukje wandelen en dan misschien even aan het strand zitten Zou je daar zin in hebben;leeftijdsgenoot;1;0;0;;;;
Je hoort mij hoor je mij Ik zing niet of je mij hoort Oké Moeke vertrek vanuit Antwerpen met de taxi taxi dat ook een rolstoel en kan dus heb dat verteld even of we gaan dat doen in wordt vergoed Wat kan een beetje frisjes zijn Het is nog lente en we komen aan in Oostende pannenkoeken gaan eten ofzo Hè Alles is weer open en dan moet jij niks meenemen behalve hoe je muts en een dikke sjaal de rest en ik ben erbij en misschien wel Anke ook mee tegen 3 uur gaan wij dan waarschijnlijkanders voelen ja oké tot morgen hè Moeke dag;oudere;0,111;0;1;;;;
Het lijkt me leuk om morgen naar het strand te gaan zou het leuk om mee te gaan dan misschien de trein gaan maar dan moeten we wel even kijken als je niet zo goed ter been bent hoe naar het station komen ja kan je met de auto ophalen of naar de bus begeleiden dan naar het station gaan ja moeten we eventjes naar kijken Misschien moet je ook nadenken misschien goede schoenen vergeten en dat ze ook een voldoende tijd om even uit te rusten en op tijd weer terug te gaan met de trein;oudere;1;1;1;;;;
zeg toch ik heb echt wel zin om naar Cadzand te gaan jij ook om hoe laat gaan wij vertrekken ga ik zo voorstellen dat we om 10 uur vertrekken en kom jij bij mij langs en dan in zekere zwemgerief mee hè Ja ik heb echt zin terraske te doen en ja ook kunnen zwemmen;leeftijdsgenoot;0;1;0;;;;
Hey dag schat Ik dacht om morgen te maken voor u zeker niet vergeten om handdoeken en eventuele zonnecrème mee te nemen want zij was ook vroeg mogelijk vertrekken als we met de auto gaan ze zit daar liever met die trein had om eventueel de files ontwijken Ik dacht misschien naar Oostende Of en ja gewoon een beetje raar en een terras kunnen doen wat denk je ervan;leeftijdsgenoot;0,861;0;0;;;;
zeg Mummie Het is toch lang geleden dat wij nog een keer samen naar de zee geweest en hij hoest waar ik ook de pannenkoeken ofzo op de dijk Ik heb er echt wel zin in zeg wil jij morgen mee Ik zal ik komen ophalen om 2 uur dus ja wie goed doet goed je niet meer niet meer te doen hè Ik zou niet meer naar die kleine zonnesteek hebt;oudere;0;1;0;;;;
dag moeder Ik zal morgen naar unieke willen dan stop ik hem morgen naar de zee ja dat is lang geleden hè dat is gewoon een keer plezant hè maar ja moet wel zeker als we morgen ook niet vergeten mee te nemen dat ze een medicijn dat moet zeker niet vergeten en een Ziekenhuisgroep behoeften zijn hè We zullen misschien best vertrekken als de thuisverzorging en opgefrist Heit en helemaal niks meer moet kijken en dan vertrekken met de wagen Hè wat moeilijkerWat betekent Oostende Of op een camping gestoord zijn hè hè ik zal dus morgen komen halen hè;oudere;0,012;1;0;;;;
Zullen we morgen naar de zee gaan anders ook meegaan Ik zou dat misschien zelf aan Oostende dat zo makkelijk dan kunnen we met een trein zandbak rond een uur of 9 en zijn we er al dicht tegen 10 uur dus je allemaal nodig misschien en pakt hij ook handdoeken mee en parasol zwembroek en zo ja voor de rest boek Zoiets jaetiket van bestellen AZ ik gewoon 's ochtends eerst gewoon naar het strand gaan en dan de middag daar ergens iets zoeken voor te eten en dan komen we 's middags nog zien als het rondwandelen en als meevalt op strand te gaan liggen dan wel en dan pakken we tegen een uur of 5-6 nier;leeftijdsgenoot;0,001;0;1;;;;
Peter we willen morgen naar de zee gaan zodat ik er niet meer gaan bij ons lekker goed dan eens deugd doen grote niet Ik zal komen halen met een met een auto en dan kunnen we de auto parkeren in de mannen en vandaag met een trein via Gent naar Oostende tjoeke Venray en dan gewoon een goede frisse lucht van ons die te kunnen zien te kunnen voelen dan kunnen De Meeuwen kijken zitten gaat er allemaal gebeuren en dan kunnen we dan een dakdekker in de caravan blijven slapen Wat denkt het wel zitten Ik kom er zeker al is dat goed ja dag;oudere;0,023;0;1;;;;
